snapshot_date,ticker,Company Name,Industry,sector,is_fo_stock,fo_category,stage,stage_raw,stage_variant,stage_classification,stage_display,stage_confidence,stage_reason,stage_state_reason,stage_failed_since,last_stage2_date,stage_pending_raw,combined_bucket,final_combined_score,volume_dryup_ratio,breakout_volume_ratio,weekly_volume_ratio,volume_is_drying_up,weekly_volume_is_drying_up,public_action,super_action
2026-06-29,COFORGE.NS,Coforge Limited,Information Technology,Unknown,True,F&O,Stage 1,Stage 1,Stage 1 - Early Turn,Stage 1 - Early Turn,Stage 1 • Stage 1 - Early Turn,0.66,The stock is improving from a repair/base area but has not confirmed a clean Stage 2 yet.,,,,,watchlist,6.02,0.99,0.42,0.71,False,True,Base Building,Watchlist / Early base
2026-06-29,COHANCE.NS,Cohance Lifesciences Ltd.,Healthcare,Unknown,False,Cash,Stage 1,Stage 1,Stage 1 - Early Turn,Stage 1 - Early Turn,Stage 1 • Stage 1 - Early Turn,0.66,The stock is improving from a repair/base area but has not confirmed a clean Stage 2 yet.,,,,,watchlist,16.39,0.97,0.19,1.76,False,False,Base Building,Watchlist / Early base
2026-06-29,COLPAL.NS,Colgate Palmolive (India) Limited,Fast Moving Consumer Goods,Unknown,True,F&O,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,9.58,1.16,0.4,1.17,False,False,Weak Structure,Exit / Avoid
2026-06-29,CONCOR.NS,Container Corporation of India Limited,Services,Unknown,True,F&O,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,29.83,0.9,0.46,0.93,False,False,Weak Structure,Exit / Avoid
2026-06-29,CONCORDBIO.NS,Concord Biotech Limited,Healthcare,Unknown,False,Cash,Stage 1,Stage 1,Stage 1 - Early Turn,Stage 1 - Early Turn,Stage 1 • Stage 1 - Early Turn,0.66,The stock is improving from a repair/base area but has not confirmed a clean Stage 2 yet.,,,,,watchlist,43.92,0.52,0.09,0.38,True,True,Base Building,Watchlist / Early base
2026-06-29,COROMANDEL.NS,Coromandel International Limited,Chemicals,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,29.26,0.94,0.21,0.52,False,True,Weak Structure,Exit / Avoid
2026-06-29,CRAFTSMAN.NS,Craftsman Automation Limited,Automobile and Auto Components,Unknown,False,Cash,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,46.08,0.77,0.54,0.72,True,True,Not Sure,No Action
2026-06-29,CREDITACC.NS,CREDITACCESS GRAMEEN LIMITED,Financial Services,Unknown,False,Cash,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,63.44,0.65,0.23,0.9,True,False,Not Sure,No Action
2026-06-29,CRISIL.NS,CRISIL Limited,Financial Services,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,27.27,0.77,0.37,0.63,True,True,Weak Structure,Exit / Avoid
2026-06-29,CROMPTON.NS,Crompton Greaves Consumer Electricals Limited,Consumer Durables,Unknown,True,F&O,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,0.0,Stage rules did not identify a reliable structure.,No confident stage classification.,,,,watchlist,9.19,0.62,0.22,0.62,True,True,Not Sure,No Action
2026-06-29,CSBBANK.NS,CSB Bank Limited,Financial Services,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,27.48,0.96,0.7,1.21,False,False,Weak Structure,Exit / Avoid
2026-06-29,CUB.NS,City Union Bank Limited,Financial Services,Unknown,False,Cash,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,54.57,0.77,0.31,0.63,True,True,Not Sure,No Action
2026-06-29,CUMMINSIND.NS,Cummins India Limited,Capital Goods,Unknown,True,F&O,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,65.67,0.81,0.27,0.91,True,False,Not Sure,No Action
2026-06-29,CYIENT.NS,Cyient Limited,Information Technology,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,16.11,1.22,0.14,0.51,False,True,Weak Structure,Exit / Avoid
2026-06-29,CYIENTDLM.NS,Cyient DLM Limited,Capital Goods,Unknown,False,Cash,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,49.13,0.69,0.32,0.6,True,True,Not Sure,No Action
2026-06-29,DABUR.NS,Dabur India Limited,Fast Moving Consumer Goods,Unknown,True,F&O,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,25.58,0.7,0.29,0.73,True,True,Weak Structure,Exit / Avoid
2026-06-29,DALBHARAT.NS,Dalmia Bharat Limited,Construction Materials,Unknown,True,F&O,Stage 4,Stage 4,Stage 4 - Confirmed Downtrend,Stage 4 - Confirmed Downtrend,Stage 4 • Stage 4 - Confirmed Downtrend,0.86,Price is below a bearish moving-average stack with falling trend signals.,,,,,watchlist,16.08,0.85,0.31,0.92,False,False,Weak Structure,Exit / Avoid
2026-06-29,DALMIASUG.NS,Dalmia Bharat Sugar and Industries Limited,Fast Moving Consumer Goods,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,2.36,0.35,0.16,0.27,True,True,Weak Structure,Exit / Avoid
2026-06-29,DATAMATICS.NS,Datamatics Global Services Limited,Information Technology,Unknown,False,Cash,Stage 1,Stage 1,Stage 1 - Early Turn,Stage 1 - Early Turn,Stage 1 • Stage 1 - Early Turn,0.66,The stock is improving from a repair/base area but has not confirmed a clean Stage 2 yet.,,,,,watchlist,18.22,0.63,0.21,0.47,True,True,Base Building,Watchlist / Early base
2026-06-29,DATAPATTNS.NS,Data Patterns (India) Limited,Capital Goods,Unknown,False,Cash,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,45.13,0.83,0.22,0.53,True,True,Not Sure,No Action
2026-06-29,DBCORP.NS,D.B.Corp Limited,"Media, Entertainment & Publication",Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,9.41,0.57,0.82,0.72,True,True,Weak Structure,Exit / Avoid
2026-06-29,DBL.NS,Dilip Buildcon Limited,Construction,Unknown,False,Cash,Stage 1,Stage 1,Stage 1 - Early Turn,Stage 1 - Early Turn,Stage 1 • Stage 1 - Early Turn,0.66,The stock is improving from a repair/base area but has not confirmed a clean Stage 2 yet.,,,,,watchlist,34.42,1.24,0.3,1.47,False,False,Base Building,Watchlist / Early base
2026-06-29,DBREALTY.NS,D B Realty Limited,Realty,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,16.87,0.35,0.07,0.17,True,True,Weak Structure,Exit / Avoid
2026-06-29,DCAL.NS,Dishman Carbogen Amcis Limited,Healthcare,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,19.06,0.76,0.1,0.54,True,True,Weak Structure,Exit / Avoid
2026-06-29,DCBBANK.NS,DCB Bank Limited,Financial Services,Unknown,False,Cash,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,68.96,0.7,0.45,0.66,True,True,Not Sure,No Action
2026-06-29,DCMSHRIRAM.NS,DCM Shriram Limited,Diversified,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Confirmed Downtrend,Stage 4 - Confirmed Downtrend,Stage 4 • Stage 4 - Confirmed Downtrend,0.86,Price is below a bearish moving-average stack with falling trend signals.,,,,,watchlist,3.29,0.55,0.13,0.42,True,True,Weak Structure,Exit / Avoid
2026-06-29,DCXINDIA.NS,DCX Systems Limited,Capital Goods,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,28.0,1.06,1.96,0.93,False,False,Weak Structure,Exit / Avoid
2026-06-29,DEEPAKFERT.NS,Deepak Fertilizers and Petrochemicals Corporation Limited,Chemicals,Unknown,False,Cash,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,39.25,0.71,0.16,0.54,True,True,Not Sure,No Action
2026-06-29,DEEPAKNTR.NS,Deepak Nitrite Limited,Chemicals,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,14.81,0.76,0.34,0.79,True,True,Weak Structure,Exit / Avoid
2026-06-29,DELHIVERY.NS,Delhivery Limited,Services,Unknown,True,F&O,Stage 1,Stage 1,Stage 1 - Early Turn,Stage 1 - Early Turn,Stage 1 • Stage 1 - Early Turn,0.66,The stock is improving from a repair/base area but has not confirmed a clean Stage 2 yet.,,,,,watchlist,42.94,1.49,0.3,2.38,False,False,Base Building,Watchlist / Early base
2026-06-29,DELTACORP.NS,Delta Corp Limited,Consumer Services,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,16.35,0.17,0.05,0.13,True,True,Weak Structure,Exit / Avoid
2026-06-29,DEVYANI.NS,Devyani International Limited,Consumer Services,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,18.8,1.33,0.13,0.45,False,True,Weak Structure,Exit / Avoid
2026-06-29,DHANUKA.NS,Dhanuka Agritech Limited,Chemicals,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,10.14,0.33,0.07,0.4,True,True,Weak Structure,Exit / Avoid
2026-06-29,DISHTV.NS,Dish TV India Limited,"Media, Entertainment & Publication",Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,19.6,0.87,0.17,1.11,False,False,Weak Structure,Exit / Avoid
2026-06-29,DIVISLAB.NS,Divi's Laboratories Limited,Healthcare,Unknown,True,F&O,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,61.41,0.84,0.56,0.75,True,True,Not Sure,No Action
2026-06-29,DIXON.NS,Dixon Technologies (India) Limited,Consumer Durables,Unknown,True,F&O,Stage 1,Stage 1,Stage 1 - Early Turn,Stage 1 - Early Turn,Stage 1 • Stage 1 - Early Turn,0.66,The stock is improving from a repair/base area but has not confirmed a clean Stage 2 yet.,,,,,watchlist,34.41,1.11,0.23,0.74,False,True,Base Building,Watchlist / Early base
2026-06-29,DLF.NS,DLF Limited,Realty,Unknown,True,F&O,Stage 1,Stage 1,Stage 1 - Early Turn,Stage 1 - Early Turn,Stage 1 • Stage 1 - Early Turn,0.66,The stock is improving from a repair/base area but has not confirmed a clean Stage 2 yet.,,,,,watchlist,16.59,1.31,0.19,0.81,False,True,Base Building,Watchlist / Early base
2026-06-29,DMART.NS,Avenue Supermarts Limited,Consumer Services,Unknown,True,F&O,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,0.0,Stage rules did not identify a reliable structure.,No confident stage classification.,,,,watchlist,17.36,1.27,0.17,0.74,False,True,Not Sure,No Action
2026-06-29,DODLA.NS,Dodla Dairy Limited,Fast Moving Consumer Goods,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,26.35,0.46,0.32,0.5,True,True,Weak Structure,Exit / Avoid
2026-06-29,DOMS.NS,DOMS Industries Ltd.,Fast Moving Consumer Goods,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Confirmed Downtrend,Stage 4 - Confirmed Downtrend,Stage 4 • Stage 4 - Confirmed Downtrend,0.86,Price is below a bearish moving-average stack with falling trend signals.,,,,,watchlist,23.92,3.54,0.05,0.47,False,True,Weak Structure,Exit / Avoid
2026-06-29,DRREDDY.NS,Dr. Reddy's Laboratories Limited,Healthcare,Unknown,True,F&O,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,53.29,0.74,2.04,1.15,True,False,Not Sure,No Action
2026-06-29,DYNAMATECH.NS,Dynamatic Technologies Limited,Capital Goods,Unknown,False,Cash,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,38.56,0.47,0.33,0.43,True,True,Not Sure,No Action
2026-06-29,EASEMYTRIP.NS,Easy Trip Planners Limited,Consumer Services,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,16.79,0.7,0.06,0.78,True,True,Weak Structure,Exit / Avoid
2026-06-29,ECLERX.NS,eClerx Services Limited,Services,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Confirmed Downtrend,Stage 4 - Confirmed Downtrend,Stage 4 • Stage 4 - Confirmed Downtrend,0.86,Price is below a bearish moving-average stack with falling trend signals.,,,,,watchlist,21.11,0.69,0.21,0.67,True,True,Weak Structure,Exit / Avoid
2026-06-29,EDELWEISS.NS,Edelweiss Financial Services Limited,Financial Services,Unknown,False,Cash,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,60.37,1.53,0.13,1.3,False,False,Not Sure,No Action
2026-06-29,EICHERMOT.NS,Eicher Motors Limited,Automobile and Auto Components,Unknown,True,F&O,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,39.44,1.0,0.47,0.84,False,True,Not Sure,No Action
2026-06-29,EIDPARRY.NS,EID Parry India Limited,Chemicals,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Confirmed Downtrend,Stage 4 - Confirmed Downtrend,Stage 4 • Stage 4 - Confirmed Downtrend,0.86,Price is below a bearish moving-average stack with falling trend signals.,,,,,watchlist,28.57,1.22,0.2,0.6,False,True,Weak Structure,Exit / Avoid
2026-06-29,EIHOTEL.NS,EIH Limited,Consumer Services,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,27.94,1.17,1.3,1.17,False,False,Weak Structure,Exit / Avoid
2026-06-29,ELECON.NS,Elecon Engineering Company Limited,Capital Goods,Unknown,False,Cash,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,40.34,0.68,0.14,0.38,True,True,Not Sure,No Action
2026-06-29,ELECTCAST.NS,Electrosteel Castings Limited,Capital Goods,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,26.11,0.93,0.23,0.69,False,True,Weak Structure,Exit / Avoid
2026-06-29,ELGIEQUIP.NS,Elgi Equipments Limited,Capital Goods,Unknown,False,Cash,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,79.3,0.69,0.27,0.7,True,True,Not Sure,No Action
2026-06-29,EMAMILTD.NS,Emami Limited,Fast Moving Consumer Goods,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Confirmed Downtrend,Stage 4 - Confirmed Downtrend,Stage 4 • Stage 4 - Confirmed Downtrend,0.86,Price is below a bearish moving-average stack with falling trend signals.,,,,,watchlist,23.92,1.51,0.36,2.28,False,False,Weak Structure,Exit / Avoid
2026-06-29,EMCURE.NS,Emcure Pharmaceuticals Ltd.,Healthcare,Unknown,False,Cash,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,43.54,1.2,0.59,1.54,False,False,Not Sure,No Action
2026-06-29,EMUDHRA.NS,eMudhra Limited,Information Technology,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,3.56,0.97,0.25,1.06,False,False,Weak Structure,Exit / Avoid
2026-06-29,ENDURANCE.NS,Endurance Technologies Limited,Automobile and Auto Components,Unknown,False,Cash,Stage 1,Stage 1,Stage 1 - Early Turn,Stage 1 - Early Turn,Stage 1 • Stage 1 - Early Turn,0.66,The stock is improving from a repair/base area but has not confirmed a clean Stage 2 yet.,,,,,watchlist,26.83,0.84,0.15,1.04,True,False,Base Building,Watchlist / Early base
2026-06-29,ENGINERSIN.NS,Engineers India Limited,Construction,Unknown,False,Cash,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,33.95,1.1,0.26,0.96,False,False,Not Sure,No Action
2026-06-29,EPIGRAL.NS,Epigral Limited,Chemicals,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,22.02,0.43,0.22,0.33,True,True,Weak Structure,Exit / Avoid
2026-06-29,EPL.NS,EPL Limited,Capital Goods,Unknown,False,Cash,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,66.28,0.69,0.21,0.44,True,True,Not Sure,No Action
2026-06-29,EQUITASBNK.NS,Equitas Small Finance Bank Limited,Financial Services,Unknown,False,Cash,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,59.11,0.75,0.1,0.55,True,True,Not Sure,No Action
2026-06-29,ERIS.NS,Eris Lifesciences Limited,Healthcare,Unknown,False,Cash,Stage 1,Stage 1,Stage 1 - Early Turn,Stage 1 - Early Turn,Stage 1 • Stage 1 - Early Turn,0.66,The stock is improving from a repair/base area but has not confirmed a clean Stage 2 yet.,,,,,watchlist,43.33,0.42,0.14,0.42,True,True,Base Building,Watchlist / Early base
2026-06-29,ESABINDIA.NS,Esab India Limited,Capital Goods,Unknown,False,Cash,Stage 1,Stage 1,Stage 1 - Base/Repair,Stage 1 - Base/Repair,Stage 1 • Stage 1 - Base/Repair,0.7,Price is near long-term moving averages with no strong long-term downtrend signal.,,,,,watchlist,11.14,0.4,0.17,0.36,True,True,Base Building,Watchlist / Early base
2026-06-29,ESCORTS.NS,Escorts Kubota Limited,Capital Goods,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Confirmed Downtrend,Stage 4 - Confirmed Downtrend,Stage 4 • Stage 4 - Confirmed Downtrend,0.86,Price is below a bearish moving-average stack with falling trend signals.,,,,,watchlist,33.93,1.0,0.24,1.06,False,False,Weak Structure,Exit / Avoid
2026-06-29,ETERNAL.NS,Eternal Ltd.,Consumer Services,Unknown,True,F&O,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,26.81,0.73,0.6,0.61,True,True,Weak Structure,Exit / Avoid
2026-06-29,EXIDEIND.NS,Exide Industries Limited,Automobile and Auto Components,Unknown,True,F&O,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,45.65,0.69,0.12,0.94,True,False,Not Sure,No Action
2026-06-29,FACT.NS,Fertilizers and Chemicals Travancore Limited,Chemicals,Unknown,False,Cash,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,0.0,Stage rules did not identify a reliable structure.,No confident stage classification.,,,,watchlist,46.19,3.11,0.06,0.75,False,True,Not Sure,No Action
2026-06-29,FCL.NS,Fineotex Chemical Limited,Chemicals,Unknown,False,Cash,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,51.31,0.58,0.2,0.55,True,True,Not Sure,No Action
2026-06-29,FDC.NS,FDC Limited,Healthcare,Unknown,False,Cash,Stage 1,Stage 1,Stage 1 - Early Turn,Stage 1 - Early Turn,Stage 1 • Stage 1 - Early Turn,0.66,The stock is improving from a repair/base area but has not confirmed a clean Stage 2 yet.,,,,,watchlist,28.86,0.85,0.25,1.32,False,False,Base Building,Watchlist / Early base
2026-06-29,FEDERALBNK.NS,The Federal Bank Limited,Financial Services,Unknown,True,F&O,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,70.13,0.53,0.12,0.45,True,True,Not Sure,No Action
2026-06-29,FINCABLES.NS,Finolex Cables Limited,Capital Goods,Unknown,False,Cash,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,47.72,0.9,0.35,0.66,False,True,Not Sure,No Action
2026-06-29,FINEORG.NS,Fine Organic Industries Limited,Chemicals,Unknown,False,Cash,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,63.59,1.82,0.25,1.55,False,False,Not Sure,No Action
2026-06-29,FINPIPE.NS,Finolex Industries Limited,Capital Goods,Unknown,False,Cash,Stage 1,Stage 1,Stage 1 - Early Turn,Stage 1 - Early Turn,Stage 1 • Stage 1 - Early Turn,0.66,The stock is improving from a repair/base area but has not confirmed a clean Stage 2 yet.,,,,,watchlist,12.77,1.49,0.13,0.91,False,False,Base Building,Watchlist / Early base
2026-06-29,FIRSTCRY.NS,Brainbees Solutions Ltd.,Consumer Services,Unknown,False,Cash,Stage 4,Stage 4,Stage 4 - Confirmed Downtrend,Stage 4 - Confirmed Downtrend,Stage 4 • Stage 4 - Confirmed Downtrend,0.86,Price is below a bearish moving-average stack with falling trend signals.,,,,,watchlist,22.77,1.11,0.13,1.98,False,False,Weak Structure,Exit / Avoid
