ticker,Company Name,Industry,sector,is_fo_stock,fo_category,Include,stage,stage_raw,stage_variant,stage_classification,stage_display,stage_confidence,stage_reason,stage_state_reason,stage_failed_since,last_stage2_date,stage_pending_raw,daily_setup_bucket,weekly_setup_bucket,combined_bucket,daily_score,weekly_score,combined_score,industry_boost,final_daily_score,final_weekly_score,final_combined_score,rs_3m_pct,rs_6m_pct,avg_turnover_inr,notes,current_rank,prev_rank,prev_stage,prev_daily_setup_bucket,prev_weekly_setup_bucket,prev_score,rank_change,combined_score_change,new_daily_breakout,new_weekly_breakout,entered_stage_2,new_top_10,new_top_20
PATELENG.NS,Patel Engineering Limited,Construction,Unknown,False,Cash,1,Stage 2 Failed,Stage 4,Failed Stage 2,Failed Stage 2,Stage 2 Failed • Failed Stage 2,0.72,"This stock was recently Stage 2, but the latest structure no longer satisfies Stage 2 rules. It is kept as Stage 2 Failed until a fresh base/repair structure forms.",Recent Stage 2 break; public stage held as Stage 2 Failed.,2026-07-22,2026-07-13,,watchlist,weekly_watchlist,watchlist,19.51,46.21,31.52,0.0,19.51,46.21,31.52,5.46,7.65,198112636.0,"Stage 4, Stage 4 - Weak/Declining, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, downtrend | Stage 2 failed state applied from stage memory.",361,304,Stage 2 Failed,watchlist,weekly_watchlist,40.91,-57,-9.389999999999997,False,False,False,False,False
VINATIORGA.NS,Vinati Organics Limited,Chemicals,Unknown,False,Cash,1,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,weekly_watchlist,watchlist,18.9,35.8,26.5,5.0,18.9,35.8,31.5,3.16,-8.14,77982231.76,"Stage 4, Stage 4 - Weak/Declining, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, downtrend",362,330,Stage 4,watchlist,weekly_watchlist,39.82,-32,-8.32,False,False,False,False,False
ABREL.NS,Aditya Birla Real Estate Ltd.,Forest Materials,Unknown,False,Cash,1,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,weekly_watchlist,watchlist,18.2,36.49,26.43,5.0,18.2,36.49,31.43,-2.37,9.27,256778711.06,"Stage 4, Stage 4 - Weak/Declining, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, downtrend",363,421,Stage 4,watchlist,weekly_watchlist,33.33,58,-1.8999999999999986,False,False,False,False,False
PFIZER.NS,Pfizer Limited,Healthcare,Unknown,False,Cash,1,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,2025-10-31,,watchlist,weekly_watchlist,watchlist,11.73,32.97,21.29,10.0,11.73,32.97,31.29,1.29,7.05,128869000.33,"Stage 4, Stage 4 - Weak/Declining, weekly_vcp_ok, weekly_volume_dryup, weekly_strong, downtrend",364,390,Stage 4,watchlist,weekly_watchlist,35.59,26,-4.300000000000004,False,False,False,False,False
MASTEK.NS,Mastek Limited,Information Technology,Unknown,False,Cash,1,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,weekly_watchlist,watchlist,20.1,44.9,31.26,0.0,20.1,44.9,31.26,0.4,-16.05,135695522.38,"Stage 4, Stage 4 - Weak/Declining, weekly_vcp_ok, weekly_strong, downtrend",365,379,Stage 4,watchlist,weekly_watchlist,36.21,14,-4.949999999999999,False,False,False,False,False
TATACHEM.NS,Tata Chemicals Limited,Chemicals,Unknown,False,Cash,1,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,weekly_watchlist,watchlist,18.34,35.94,26.26,5.0,18.34,35.94,31.26,-1.2,2.58,605088619.24,"Stage 4, Stage 4 - Weak/Declining, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, downtrend",366,378,Stage 4,watchlist,weekly_watchlist,36.34,12,-5.080000000000002,False,False,False,False,False
FINCABLES.NS,Finolex Cables Limited,Capital Goods,Unknown,False,Cash,1,Stage 2,Stage 2,Early Stage 2,Early Stage 2,Stage 2 • Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-07-21,,watchlist,weekly_watchlist,watchlist,21.88,20.48,21.25,10.0,21.88,20.48,31.25,2.53,46.24,305270894.87,"Stage 2, Early Stage 2, volume_dryup, weekly_volume_dryup",367,389,Stage 2,watchlist,weekly_watchlist,35.59,22,-4.340000000000003,False,False,False,False,False
IOC.NS,Indian Oil Corporation Ltd.,"Oil, Gas & Consumable Fuels",Unknown,True,F&O,1,Stage 1,Stage 1,Stage 1 - Base/Repair,Stage 1 - Base/Repair,Stage 1 • Stage 1 - Base/Repair,0.7,Price is near long-term moving averages with no strong long-term downtrend signal.,,,2026-03-06,,watchlist,weekly_watchlist,watchlist,18.91,41.8,29.21,2.0,18.91,41.8,31.21,-1.33,-2.72,2004055265.34,"Stage 1, Stage 1 - Base/Repair, weekly_vcp_ok, weekly_volume_dryup, weekly_strong, stage1_not_actionable, stage1_needs_more_base",368,386,Stage 1,watchlist,weekly_watchlist,35.72,18,-4.509999999999998,False,False,False,False,False
METROBRAND.NS,Metro Brands Limited,Consumer Durables,Unknown,False,Cash,1,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,weekly_watchlist,watchlist,16.21,44.91,29.12,2.0,16.21,44.91,31.12,3.42,7.7,62855930.51,"Stage 4, Stage 4 - Weak/Declining, weekly_vcp_ok, weekly_strong, downtrend",369,231,Not Sure,watchlist,weekly_watchlist,48.07,-138,-16.95,False,False,False,False,False
BANCOINDIA.NS,Banco Products (I) Limited,Automobile and Auto Components,Unknown,False,Cash,1,Stage 2 Failed,Stage 4,Failed Stage 2,Failed Stage 2,Stage 2 Failed • Failed Stage 2,0.72,"This stock was recently Stage 2, but the latest structure no longer satisfies Stage 2 rules. It is kept as Stage 2 Failed until a fresh base/repair structure forms.",Recent Stage 2 break; public stage held as Stage 2 Failed.,2026-07-22,2026-07-16,,watchlist,weekly_watchlist,watchlist,16.5,37.6,26.0,5.0,16.5,37.6,31.0,6.25,11.72,91463526.33,"Stage 4, Stage 4 - Weak/Declining, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, downtrend | Stage 2 failed state applied from stage memory.",370,382,Stage 2 Failed,watchlist,weekly_watchlist,35.95,12,-4.950000000000003,False,False,False,False,False
