ticker,Company Name,Industry,sector,is_fo_stock,fo_category,Include,stage,stage_raw,stage_variant,stage_classification,stage_display,stage_confidence,stage_reason,stage_state_reason,stage_failed_since,last_stage2_date,stage_pending_raw,daily_setup_bucket,weekly_setup_bucket,combined_bucket,daily_score,weekly_score,combined_score,industry_boost,final_daily_score,final_weekly_score,final_combined_score,rs_3m_pct,rs_6m_pct,avg_turnover_inr,notes,current_rank,prev_rank,prev_stage,prev_daily_setup_bucket,prev_weekly_setup_bucket,prev_score,rank_change,combined_score_change,new_daily_breakout,new_weekly_breakout,entered_stage_2,new_top_10,new_top_20
SBILIFE.NS,SBI Life Insurance Company Limited,Financial Services,Unknown,True,F&O,1,Stage 1,Stage 1,Stage 1 - Base/Repair,Stage 1 - Base/Repair,Stage 1 • Stage 1 - Base/Repair,0.7,Price is near long-term moving averages with no strong long-term downtrend signal.,,,2026-03-02,,watchlist,weekly_watchlist,watchlist,21.51,41.8,30.64,2.0,21.51,41.8,32.64,1.09,-5.2,1763927238.32,"Stage 1, Stage 1 - Base/Repair, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, stage1_not_actionable, stage1_needs_more_base",341,355,Stage 1,watchlist,weekly_watchlist,37.67,14,-5.030000000000001,False,False,False,False,False
STAR.NS,Strides Pharma Science Limited,Healthcare,Unknown,False,Cash,1,Stage 2,Stage 2,Early Stage 2,Early Stage 2,Stage 2 • Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-07-21,,watchlist,weekly_watchlist,watchlist,25.01,19.19,22.39,10.0,25.01,19.19,32.39,-3.7,27.57,167173239.74,"Stage 2, Early Stage 2, volume_dryup, weekly_volume_dryup",342,368,Stage 2,watchlist,weekly_watchlist,37.02,26,-4.630000000000003,False,False,False,False,False
NESTLEIND.NS,Nestle India Limited,Fast Moving Consumer Goods,Unknown,True,F&O,1,Stage 2,Stage 2,Stage 2,Stage 2,Stage 2,0.76,Advancing structure detected.,,,2026-07-21,,watchlist,weekly_watchlist,watchlist,37.04,26.64,32.36,0.0,37.04,26.64,32.36,7.46,22.96,2890127772.15,"Stage 2, Stage 2",343,405,Stage 2,watchlist,weekly_watchlist,34.53,62,-2.1700000000000017,False,False,False,False,False
RCF.NS,Rashtriya Chemicals and Fertilizers Limited,Chemicals,Unknown,False,Cash,1,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,weekly_watchlist,watchlist,20.13,35.93,27.24,5.0,20.13,35.93,32.24,-2.1,3.42,166538233.33,"Stage 4, Stage 4 - Weak/Declining, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, downtrend",344,376,Stage 4,watchlist,weekly_watchlist,36.43,32,-4.189999999999998,False,False,False,False,False
SAFARI.NS,Safari Industries (India) Limited,Consumer Durables,Unknown,False,Cash,1,Stage 4,Stage 4,Stage 4 - Weak/Declining,Stage 4 - Weak/Declining,Stage 4 • Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,2025-12-24,,watchlist,weekly_watchlist,watchlist,19.1,43.8,30.22,2.0,19.1,43.8,32.22,9.09,-14.43,69912361.95,"Stage 4, Stage 4 - Weak/Declining, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, downtrend",345,363,Stage 4,watchlist,weekly_watchlist,37.17,18,-4.950000000000003,False,False,False,False,False
VSTTILLERS.NS,V.S.T Tillers Tractors Limited,Capital Goods,Unknown,False,Cash,1,Stage 4,Stage 4,Stage 4 - Confirmed Downtrend,Stage 4 - Confirmed Downtrend,Stage 4 • Stage 4 - Confirmed Downtrend,0.86,Price is below a bearish moving-average stack with falling trend signals.,,,2026-02-26,,watchlist,weekly_watchlist,watchlist,11.1,35.8,22.21,10.0,11.1,35.8,32.21,-13.18,-11.85,39078791.13,"Stage 4, Stage 4 - Confirmed Downtrend, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, downtrend",346,364,Stage 4,watchlist,weekly_watchlist,37.16,18,-4.949999999999996,False,False,False,False,False
RACE.NS,Race Eco Chain Limited,Utilities,Unknown,False,Cash,1,Stage 4,Stage 4,Stage 4 - Confirmed Downtrend,Stage 4 - Confirmed Downtrend,Stage 4 • Stage 4 - Confirmed Downtrend,0.86,Price is below a bearish moving-average stack with falling trend signals.,,,,,watchlist,weekly_watchlist,watchlist,10.15,36.9,22.19,10.0,10.15,36.9,32.19,-9.94,1.62,369668.57,"Stage 4, Stage 4 - Confirmed Downtrend, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, downtrend",347,367,Stage 4,watchlist,weekly_watchlist,37.03,20,-4.840000000000003,False,False,False,False,False
MAHABANK.NS,Bank of Maharashtra,Financial Services,Unknown,False,Cash,1,Stage 2,Stage 2,Early Stage 2,Early Stage 2,Stage 2 • Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-07-21,,watchlist,weekly_watchlist,watchlist,40.19,17.86,30.14,2.0,40.19,17.86,32.14,2.35,32.25,1648726312.92,"Stage 2, Early Stage 2, weekly_volume_dryup",348,340,Stage 2,watchlist,weekly_watchlist,38.82,-8,-6.68,False,False,False,False,False
GHCL.NS,GHCL Limited,Chemicals,Unknown,False,Cash,1,Stage 4,Stage 4,Stage 4 - Confirmed Downtrend,Stage 4 - Confirmed Downtrend,Stage 4 • Stage 4 - Confirmed Downtrend,0.86,Price is below a bearish moving-average stack with falling trend signals.,,,,,watchlist,weekly_watchlist,watchlist,20.0,35.8,27.11,5.0,20.0,35.8,32.11,-12.63,-9.9,56629899.86,"Stage 4, Stage 4 - Confirmed Downtrend, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, downtrend",349,366,Stage 4,watchlist,weekly_watchlist,37.06,17,-4.950000000000003,False,False,False,False,False
UNIONBANK.NS,Union Bank of India,Financial Services,Unknown,True,F&O,1,Stage 2 Failed,Stage 1,Failed Stage 2,Failed Stage 2,Stage 2 Failed • Failed Stage 2,0.72,"This stock was recently Stage 2, but the latest structure no longer satisfies Stage 2 rules. It is kept as Stage 2 Failed until a fresh base/repair structure forms.",Recent Stage 2 break; public stage held as Stage 2 Failed.,2026-07-22,2026-07-13,,watchlist,weekly_watchlist,watchlist,19.83,42.58,30.07,2.0,19.83,42.58,32.07,1.33,6.47,3355567974.92,"Stage 1, Stage 1 - Base/Repair, weekly_vcp_ok, weekly_strong, stage1_not_actionable, stage1_needs_more_base | Stage 2 failed state applied from stage memory.",350,294,Stage 2 Failed,watchlist,weekly_watchlist,41.45,-56,-9.380000000000003,False,False,False,False,False
