Company Name,Industry,Symbol,Series,ISIN Code,Ticker,sector,industry_group,is_fo_stock,fo_category,Include
Techno Electric & Engineering Company Limited,Construction,TECHNOE,EQ,INE285K01026,TECHNOE.NS,Unknown,Unknown,False,Cash,1
Tega Industries Limited,Capital Goods,TEGA,EQ,INE011K01018,TEGA.NS,Unknown,Unknown,False,Cash,1
Tejas Networks Limited,Telecommunication,TEJASNET,EQ,INE010J01012,TEJASNET.NS,Unknown,Unknown,False,Cash,1
Texmaco Rail & Engineering Limited,Capital Goods,TEXRAIL,EQ,INE621L01012,TEXRAIL.NS,Unknown,Unknown,False,Cash,1
Thangamayil Jewellery Limited,Consumer Durables,THANGAMAYL,EQ,INE085J01014,THANGAMAYL.NS,Unknown,Unknown,False,Cash,1
Leela Palaces Hotels & Resorts Ltd.,Consumer Services,THELEELA,EQ,INE0AQ201015,THELEELA.NS,Unknown,Unknown,False,Cash,1
Thermax Limited,Capital Goods,THERMAX,EQ,INE152A01029,THERMAX.NS,Unknown,Unknown,False,Cash,1
Tilaknagar Industries Limited,Fast Moving Consumer Goods,TI,EQ,INE133E01013,TI.NS,Unknown,Unknown,False,Cash,1
Technocraft Industries (India) Limited,Capital Goods,TIIL,EQ,INE545H01011,TIIL.NS,Unknown,Unknown,False,Cash,1
Tube Investments of India Limited,Automobile and Auto Components,TIINDIA,EQ,INE974X01010,TIINDIA.NS,Unknown,Unknown,True,F&O,1
Time Technoplast Limited,Capital Goods,TIMETECHNO,EQ,INE508G01029,TIMETECHNO.NS,Unknown,Unknown,False,Cash,1
Timken India Limited,Capital Goods,TIMKEN,EQ,INE325A01013,TIMKEN.NS,Unknown,Unknown,False,Cash,1
TITAGARH RAIL SYSTEMS LIMITED,Capital Goods,TITAGARH,EQ,INE615H01020,TITAGARH.NS,Unknown,Unknown,False,Cash,1
Titan Company Limited,Consumer Durables,TITAN,EQ,INE280A01028,TITAN.NS,Unknown,Unknown,True,F&O,1
Tamilnad Mercantile Bank Limited,Financial Services,TMB,EQ,INE668A01016,TMB.NS,Unknown,Unknown,False,Cash,1
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV,EQ,INE155A01022,TMPV.NS,Unknown,Unknown,True,F&O,1
Torrent Pharmaceuticals Limited,Healthcare,TORNTPHARM,EQ,INE685A01028,TORNTPHARM.NS,Unknown,Unknown,True,F&O,1
Torrent Power Limited,Power,TORNTPOWER,EQ,INE813H01021,TORNTPOWER.NS,Unknown,Unknown,False,Cash,1
Trent Limited,Consumer Services,TRENT,EQ,INE849A01020,TRENT.NS,Unknown,Unknown,True,F&O,1
Trident Limited,Textiles,TRIDENT,EQ,INE064C01022,TRIDENT.NS,Unknown,Unknown,False,Cash,1
Triveni Turbine Limited,Capital Goods,TRITURBINE,EQ,INE152M01016,TRITURBINE.NS,Unknown,Unknown,False,Cash,1
Triveni Engineering & Industries Limited,Fast Moving Consumer Goods,TRIVENI,EQ,INE256C01024,TRIVENI.NS,Unknown,Unknown,False,Cash,1
TTK Prestige Limited,Consumer Durables,TTKPRESTIG,EQ,INE690A01028,TTKPRESTIG.NS,Unknown,Unknown,False,Cash,1
Tata Teleservices (Maharashtra) Limited,Telecommunication,TTML,EQ,INE517B01013,TTML.NS,Unknown,Unknown,False,Cash,1
TVS Holdings Limited,Automobile and Auto Components,TVSHLTD,EQ,INE105A01035,TVSHLTD.NS,Unknown,Unknown,False,Cash,1
TVS Motor Company Limited,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023,TVSMOTOR.NS,Unknown,Unknown,True,F&O,1
TVS Supply Chain Solutions Limited,Services,TVSSCS,EQ,INE395N01027,TVSSCS.NS,Unknown,Unknown,False,Cash,1
TVS Srichakra Limited,Automobile and Auto Components,TVSSRICHAK,EQ,INE421C01016,TVSSRICHAK.NS,Unknown,Unknown,False,Cash,1
United Breweries Limited,Fast Moving Consumer Goods,UBL,EQ,INE686F01025,UBL.NS,Unknown,Unknown,False,Cash,1
UCO Bank,Financial Services,UCOBANK,EQ,INE691A01018,UCOBANK.NS,Unknown,Unknown,False,Cash,1
Ujjivan Small Finance Bank Limited,Financial Services,UJJIVANSFB,EQ,INE551W01018,UJJIVANSFB.NS,Unknown,Unknown,False,Cash,1
UltraTech Cement Limited,Construction Materials,ULTRACEMCO,EQ,INE481G01011,ULTRACEMCO.NS,Unknown,Unknown,True,F&O,1
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016,UNIONBANK.NS,Unknown,Unknown,True,F&O,1
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024,UNITDSPR.NS,Unknown,Unknown,True,F&O,1
UNO Minda Limited,Automobile and Auto Components,UNOMINDA,EQ,INE405E01023,UNOMINDA.NS,Unknown,Unknown,True,F&O,1
UPL Limited,Chemicals,UPL,EQ,INE628A01036,UPL.NS,Unknown,Unknown,True,F&O,1
Usha Martin Limited,Capital Goods,USHAMART,EQ,INE228A01035,USHAMART.NS,Unknown,Unknown,False,Cash,1
UTI Asset Management Company Limited,Financial Services,UTIAMC,EQ,INE094J01016,UTIAMC.NS,Unknown,Unknown,False,Cash,1
Utkarsh Small Finance Bank Limited,Financial Services,UTKARSHBNK,EQ,INE735W01017,UTKARSHBNK.NS,Unknown,Unknown,False,Cash,1
Vaibhav Global Limited,Consumer Durables,VAIBHAVGBL,EQ,INE884A01027,VAIBHAVGBL.NS,Unknown,Unknown,False,Cash,1
Varroc Engineering Limited,Automobile and Auto Components,VARROC,EQ,INE665L01035,VARROC.NS,Unknown,Unknown,False,Cash,1
Varun Beverages Limited,Fast Moving Consumer Goods,VBL,EQ,INE200M01021,VBL.NS,Unknown,Unknown,True,F&O,1
Vedanta Limited,Metals & Mining,VEDL,EQ,INE205A01025,VEDL.NS,Unknown,Unknown,True,F&O,1
Ventive Hospitality Ltd.,Consumer Services,VENTIVE,EQ,INE781S01027,VENTIVE.NS,Unknown,Unknown,False,Cash,1
Venus Pipes & Tubes Limited,Capital Goods,VENUSPIPES,EQ,INE0JA001018,VENUSPIPES.NS,Unknown,Unknown,False,Cash,1
Vesuvius India Limited,Capital Goods,VESUVIUS,EQ,INE386A01015,VESUVIUS.NS,Unknown,Unknown,False,Cash,1
V-Guard Industries Limited,Consumer Durables,VGUARD,EQ,INE951I01027,VGUARD.NS,Unknown,Unknown,False,Cash,1
Vijaya Diagnostic Centre Limited,Healthcare,VIJAYA,EQ,INE043W01024,VIJAYA.NS,Unknown,Unknown,False,Cash,1
Vinati Organics Limited,Chemicals,VINATIORGA,EQ,INE410B01037,VINATIORGA.NS,Unknown,Unknown,False,Cash,1
VIP Industries Limited,Consumer Durables,VIPIND,EQ,INE054A01027,VIPIND.NS,Unknown,Unknown,False,Cash,1
V-Mart Retail Limited,Consumer Services,VMART,EQ,INE665J01013,VMART.NS,Unknown,Unknown,False,Cash,1
Vishal Mega Mart Ltd.,Consumer Services,VMM,EQ,INE01EA01019,VMM.NS,Unknown,Unknown,True,F&O,1
Voltamp Transformers Limited,Capital Goods,VOLTAMP,EQ,INE540H01012,VOLTAMP.NS,Unknown,Unknown,False,Cash,1
Voltas Limited,Consumer Durables,VOLTAS,EQ,INE226A01021,VOLTAS.NS,Unknown,Unknown,True,F&O,1
VRL Logistics Limited,Services,VRLLOG,EQ,INE366I01010,VRLLOG.NS,Unknown,Unknown,False,Cash,1
VST Industries Limited,Fast Moving Consumer Goods,VSTIND,EQ,INE710A01016,VSTIND.NS,Unknown,Unknown,False,Cash,1
V.S.T Tillers Tractors Limited,Capital Goods,VSTTILLERS,EQ,INE764D01017,VSTTILLERS.NS,Unknown,Unknown,False,Cash,1
Vardhman Textiles Limited,Textiles,VTL,EQ,INE825A01020,VTL.NS,Unknown,Unknown,False,Cash,1
Waaree Energies Ltd.,Capital Goods,WAAREEENER,EQ,INE377N01017,WAAREEENER.NS,Unknown,Unknown,True,F&O,1
VA Tech Wabag Limited,Utilities,WABAG,EQ,INE956G01038,WABAG.NS,Unknown,Unknown,False,Cash,1
Welspun Corp Limited,Capital Goods,WELCORP,EQ,INE191B01025,WELCORP.NS,Unknown,Unknown,False,Cash,1
Welspun Enterprises Limited,Construction,WELENT,EQ,INE625G01013,WELENT.NS,Unknown,Unknown,False,Cash,1
Welspun Living Ltd.,Textiles,WELSPUNLIV,EQ,INE192B01031,WELSPUNLIV.NS,Unknown,Unknown,False,Cash,1
WESTLIFE FOODWORLD LIMITED,Consumer Services,WESTLIFE,EQ,INE274F01020,WESTLIFE.NS,Unknown,Unknown,False,Cash,1
Whirlpool of India Limited,Consumer Durables,WHIRLPOOL,EQ,INE716A01013,WHIRLPOOL.NS,Unknown,Unknown,False,Cash,1
Wipro Limited,Information Technology,WIPRO,EQ,INE075A01022,WIPRO.NS,Unknown,Unknown,True,F&O,1
Wockhardt Limited,Healthcare,WOCKPHARMA,EQ,INE049B01025,WOCKPHARMA.NS,Unknown,Unknown,False,Cash,1
Wonderla Holidays Limited,Consumer Services,WONDERLA,EQ,INE066O01014,WONDERLA.NS,Unknown,Unknown,False,Cash,1
West Coast Paper Mills Limited,Forest Materials,WSTCSTPAPR,EQ,INE976A01021,WSTCSTPAPR.NS,Unknown,Unknown,False,Cash,1
Yatharth Hospital & Trauma Care Services Limited,Healthcare,YATHARTH,EQ,INE0JO301016,YATHARTH.NS,Unknown,Unknown,False,Cash,1
Yes Bank Limited,Financial Services,YESBANK,EQ,INE528G01035,YESBANK.NS,Unknown,Unknown,True,F&O,1
Zaggle Prepaid Ocean Services Limited,Information Technology,ZAGGLE,EQ,INE07K301024,ZAGGLE.NS,Unknown,Unknown,False,Cash,1
Zee Entertainment Enterprises Limited,"Media, Entertainment & Publication",ZEEL,EQ,INE256A01028,ZEEL.NS,Unknown,Unknown,False,Cash,1
Zensar Technologies Limited,Information Technology,ZENSARTECH,EQ,INE520A01027,ZENSARTECH.NS,Unknown,Unknown,False,Cash,1
Zen Technologies Ltd.,Capital Goods,ZENTEC,EQ,INE251B01027,ZENTEC.NS,Unknown,Unknown,False,Cash,1
ZF Commercial Vehicle Control Systems India Limited,Automobile and Auto Components,ZFCVINDIA,EQ,INE342J01019,ZFCVINDIA.NS,Unknown,Unknown,False,Cash,1
Zydus Lifesciences Limited,Healthcare,ZYDUSLIFE,EQ,INE010B01027,ZYDUSLIFE.NS,Unknown,Unknown,True,F&O,1
Zydus Wellness Limited,Fast Moving Consumer Goods,ZYDUSWELL,EQ,INE768C01010,ZYDUSWELL.NS,Unknown,Unknown,False,Cash,1
