ticker,Company Name,Industry,sector,industry_group,is_fo_stock,fo_category,Include,stage,stage_raw,stage_variant,stage_classification,stage_display,stage_confidence,stage_reason,stage_state_reason,stage_failed_since,last_stage2_date,stage_pending_raw,rs_3m_pct,rs_6m_pct,avg_turnover_inr,volume_dryup_ratio,breakout_volume_ratio,weekly_volume_ratio,volume_is_drying_up,weekly_volume_is_drying_up,notes,weekly_setup_bucket,weekly_score,final_weekly_score,weekly_pivot,weekly_breakout_distance_pct,weekly_contraction_depths_pct,weekly_contraction_durations,weekly_contraction_score,weekly_base_duration_weeks,weekly_vcp_quality,current_rank
SAREGAMA.NS,Saregama India Limited,"Media, Entertainment & Publication",Unknown,Unknown,False,Cash,1,Stage 2,Stage 2,Early Stage 2,Early Stage 2,Stage 2 • Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-08-31,,0.96,61.58,315542287.54,0.62,0.58,0.76,True,True,"Stage 2, Early Stage 2, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",weekly_forming,59.65,59.65,575.51,-14.21,"[16.47, 16.74]","[4, 3]",0.9,8.0,strong,145
BASF.NS,BASF India Limited,Chemicals,Unknown,Unknown,False,Cash,1,Stage 2 Failed,Not Sure,Failed Stage 2,Failed Stage 2,Stage 2 Failed • Failed Stage 2,0.72,"This stock was recently Stage 2, but the latest structure no longer satisfies Stage 2 rules. It is kept as Stage 2 Failed until a fresh base/repair structure forms.",Recent Stage 2 break; public stage held as Stage 2 Failed.,2026-09-01,2026-08-31,,8.05,14.08,195652346.62,0.36,0.21,0.27,True,True,"Not Sure, Not Sure, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong | Stage 2 failed state applied from stage memory.",weekly_watchlist,57.11,59.61,4069.78,-7.59,"[27.02, 21.16, 20.72]","[16, 6, 5]",0.95,36.0,strong,146
PGEL.NS,PG Electroplast Limited,Consumer Durables,Unknown,Unknown,True,F&O,1,Stage 2,Stage 2,Early Stage 2,Early Stage 2,Stage 2 • Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-08-31,,14.69,1.76,1197789498.17,0.49,0.39,0.42,True,True,"Stage 2, Early Stage 2, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",weekly_forming,59.45,59.45,645.08,-11.65,"[31.21, 21.86]","[6, 4]",0.9,12.0,strong,147
PARADEEP.NS,Paradeep Phosphates Limited,Chemicals,Unknown,Unknown,False,Cash,1,Stage 1,Stage 1,Stage 1 - Early Turn,Stage 1 - Early Turn,Stage 1 • Stage 1 - Early Turn,0.66,The stock is improving from a repair/base area but has not confirmed a clean Stage 2 yet.,,,,,20.73,49.65,988855674.5,1.11,0.28,0.79,False,True,"Stage 1, Stage 1 - Early Turn, weekly_vcp_ok, weekly_volume_dryup, weekly_strong, stage1_not_actionable, stage1_needs_more_base",weekly_watchlist,56.84,59.34,159.78,-1.42,"[41.52, 16.7]","[10, 4]",0.9,20.0,strong,148
SHOPERSTOP.NS,Shoppers Stop Limited,Consumer Services,Unknown,Unknown,False,Cash,1,Stage 2 Failed,Not Sure,Failed Stage 2,Failed Stage 2,Stage 2 Failed • Failed Stage 2,0.72,"This stock was recently Stage 2, but the latest structure no longer satisfies Stage 2 rules. It is kept as Stage 2 Failed until a fresh base/repair structure forms.",Recent Stage 2 break; public stage held as Stage 2 Failed.,2026-09-01,2026-08-21,,5.19,37.94,15998985.56,0.18,0.25,0.18,True,True,"Not Sure, Not Sure, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong | Stage 2 failed state applied from stage memory.",weekly_watchlist,58.11,59.11,390.68,-1.11,"[35.07, 10.31]","[3, 9]",0.9,21.0,strong,149
NH.NS,Narayana Hrudayalaya Ltd.,Healthcare,Unknown,Unknown,False,Cash,1,Stage 1,Stage 1,Stage 1 - Base/Repair,Stage 1 - Base/Repair,Stage 1 • Stage 1 - Base/Repair,0.7,Price is near long-term moving averages with no strong long-term downtrend signal.,,,2026-08-07,,-4.06,17.06,593528361.6,0.89,0.72,0.77,False,True,"Stage 1, Stage 1 - Base/Repair, stage1_base_ready, weekly_vcp_ok, weekly_volume_dryup, weekly_strong, stage1_not_actionable",weekly_watchlist,54.1,59.1,2096.56,-7.53,"[18.65, 8.43]","[12, 2]",0.9,23.0,strong,150
HINDZINC.NS,Hindustan Zinc Limited,Metals & Mining,Unknown,Unknown,True,F&O,1,Not Sure,Stage 2,Pending Stage 2,Pending Stage 2,Not Sure • Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,2026-06-04,Stage 2,2.6,8.47,4518836953.0,1.83,0.93,1.85,False,False,"Stage 2, Early Stage 2, weekly_vcp_ok, weekly_strong | Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.",weekly_forming,58.91,58.91,679.44,-12.13,"[33.97, 24.08]","[8, 9]",0.9,24.0,strong,151
BEML.NS,BEML Limited,Capital Goods,Unknown,Unknown,False,Cash,1,Stage 1,Stage 1,Stage 1 - Early Turn,Stage 1 - Early Turn,Stage 1 • Stage 1 - Early Turn,0.66,The stock is improving from a repair/base area but has not confirmed a clean Stage 2 yet.,,,2026-08-07,,10.32,28.65,952926885.75,0.8,0.79,0.83,True,True,"Stage 1, Stage 1 - Early Turn, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, stage1_not_actionable, stage1_needs_more_base",weekly_watchlist,55.9,58.4,2037.96,-3.33,"[29.65, 29.57, 17.53, 11.74]","[7, 14, 4, 3]",1.0,41.0,strong,152
UNOMINDA.NS,UNO Minda Limited,Automobile and Auto Components,Unknown,Unknown,True,F&O,1,Stage 2,Stage 2,Early Stage 2,Early Stage 2,Stage 2 • Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-08-31,,14.19,19.16,985264010.89,0.88,1.85,1.03,False,False,"Stage 2, Early Stage 2, daily_vcp_ok, weekly_vcp_ok",weekly_near_pivot,55.43,57.93,1300.57,-2.01,"[18.25, 20.8, 15.31]","[2, 5, 2]",0.55,19.0,moderate,153
MOTILALOFS.NS,Motilal Oswal Financial Services Limited,Financial Services,Unknown,Unknown,True,F&O,1,Stage 1,Stage 1,Stage 1 - Early Turn,Stage 1 - Early Turn,Stage 1 • Stage 1 - Early Turn,0.66,The stock is improving from a repair/base area but has not confirmed a clean Stage 2 yet.,,,2026-08-05,,16.05,49.65,1195312036.41,1.01,0.32,0.75,False,True,"Stage 1, Stage 1 - Early Turn, weekly_vcp_ok, weekly_volume_dryup, weekly_strong, stage1_not_actionable, stage1_needs_more_base",weekly_watchlist,56.37,57.37,991.48,2.47,"[43.5, 15.63]","[21, 2]",0.9,39.0,strong,154
BALKRISIND.NS,Balkrishna Industries Limited,Automobile and Auto Components,Unknown,Unknown,False,Cash,1,Stage 2 Failed,Stage 2,Failed Stage 2,Failed Stage 2,Stage 2 Failed • Failed Stage 2,0.7,Failed Stage 2 cooling period is still active; waiting for a fresh base or confirmed reclaim.,Failed Stage 2 hold period active.,,2026-08-28,,6.51,7.27,1652340972.31,2.32,0.66,7.07,False,False,"Stage 2, Early Stage 2, weekly_vcp_ok, weekly_strong | Failed Stage 2 hold period active.",weekly_forming,54.78,57.28,2562.48,-9.0,"[16.22, 13.17]","[2, 4]",0.9,8.0,strong,155
AFFLE.NS,Affle (India) Limited,Information Technology,Unknown,Unknown,False,Cash,1,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,0.0,Stage rules did not identify a reliable structure.,No confident stage classification.,,2025-10-27,,3.3,17.14,288720321.57,0.44,0.39,0.46,True,True,"Not Sure, Not Sure, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",weekly_watchlist,55.84,56.84,1688.95,-7.33,"[31.59, 17.53]","[11, 7]",0.9,25.0,strong,156
PRAJIND.NS,Praj Industries Limited,Capital Goods,Unknown,Unknown,False,Cash,1,Stage 2 Failed,Stage 1,Failed Stage 2,Failed Stage 2,Stage 2 Failed • Failed Stage 2,0.72,"This stock was recently Stage 2, but the latest structure no longer satisfies Stage 2 rules. It is kept as Stage 2 Failed until a fresh base/repair structure forms.",Recent Stage 2 break; public stage held as Stage 2 Failed.,2026-09-01,2026-08-31,,-5.35,14.71,430641863.04,1.28,0.38,0.62,False,True,"Stage 1, Stage 1 - Base/Repair, stage1_base_ready, weekly_vcp_ok, weekly_volume_dryup, weekly_strong, stage1_not_actionable | Stage 2 failed state applied from stage memory.",weekly_watchlist,53.74,56.24,364.32,-6.59,"[24.21, 18.23]","[7, 3]",0.9,14.0,strong,157
POONAWALLA.NS,Poonawalla Fincorp Limited,Financial Services,Unknown,Unknown,False,Cash,1,Stage 2,Stage 2,Early Stage 2,Early Stage 2,Stage 2 • Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-08-31,,15.51,13.89,635497953.97,0.63,0.98,0.73,True,True,"Stage 2, Early Stage 2, weekly_vcp_ok, volume_dryup, weekly_volume_dryup",weekly_near_pivot,55.04,56.04,469.12,-1.74,"[24.85, 28.19, 20.98]","[4, 7, 5]",0.55,22.0,moderate,158
