ticker,Company Name,Industry,sector,is_fo_stock,fo_category,stage,overall_setup_label,final_combined_score,change_1d_pct,change_1w_pct,change_1m_pct,change_ytd_pct,last_close,stage_variant,stage_classification,stage_display
SUBROS.NS,Subros Limited,Automobile and Auto Components,Unknown,False,Cash,Stage 1,watchlist,32.8,0.77,-2.12,-5.68,-8.57,788.0,Stage 1,Stage 1,Stage 1
SIEMENS.NS,Siemens Ltd.,Capital Goods,Unknown,True,F&O,Stage 2 Failed,watchlist,25.04,0.76,1.08,2.48,20.27,3718.0,Stage 2 Failed,Stage 2 Failed,Stage 2 Failed
GRAVITA.NS,Gravita India Limited,Metals & Mining,Unknown,False,Cash,Stage 2,watchlist,56.83,0.74,-1.15,7.05,-3.75,1788.8,Stage 2,Stage 2,Stage 2
GRASIM.NS,Grasim Industries Limited,Construction Materials,Unknown,True,F&O,Stage 2,watchlist,39.25,0.74,-1.0,-0.45,9.14,3112.4,Stage 2,Stage 2,Stage 2
SHYAMMETL.NS,Shyam Metalics and Energy Limited,Metals & Mining,Unknown,False,Cash,Stage 2,watchlist,38.31,0.74,-1.72,9.64,23.17,1035.1,Stage 2,Stage 2,Stage 2
JTLIND.NS,JTL INDUSTRIES LIMITED,Capital Goods,Unknown,False,Cash,Stage 2 Failed,watchlist,21.76,0.74,-2.47,-5.48,23.95,73.18,Stage 2 Failed,Stage 2 Failed,Stage 2 Failed
ARE&M.NS,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,Unknown,False,Cash,Not Sure,watchlist,36.51,0.73,-3.52,5.32,-5.23,874.0,Not Sure,Not Sure,Not Sure
LICI.NS,Life Insurance Corporation Of India,Financial Services,Unknown,True,F&O,Stage 2,watchlist,59.21,0.72,-2.0,0.24,1.85,424.35,Stage 2,Stage 2,Stage 2
SOLARINDS.NS,Solar Industries India Limited,Chemicals,Unknown,True,F&O,Stage 2,watchlist,54.09,0.72,-2.1,6.89,53.12,18628.0,Stage 2,Stage 2,Stage 2
HOMEFIRST.NS,Home First Finance Company India Limited,Financial Services,Unknown,False,Cash,Stage 2,watchlist,45.49,0.72,-7.12,-0.77,7.92,1182.5,Stage 2,Stage 2,Stage 2
SAIL.NS,Steel Authority of India Limited,Metals & Mining,Unknown,True,F&O,Stage 2 Failed,watchlist,0.28,0.72,-0.01,-4.78,9.55,162.62,Stage 2 Failed,Stage 2 Failed,Stage 2 Failed
CENTRALBK.NS,Central Bank of India,Financial Services,Unknown,False,Cash,Stage 4,watchlist,27.74,0.71,-2.5,-2.95,-15.07,31.25,Stage 4,Stage 4,Stage 4
IOB.NS,Indian Overseas Bank,Financial Services,Unknown,False,Cash,Stage 4,watchlist,26.35,0.71,-2.51,-1.02,-5.98,34.12,Stage 4,Stage 4,Stage 4
COCHINSHIP.NS,Cochin Shipyard Limited,Capital Goods,Unknown,True,F&O,Stage 4,watchlist,21.11,0.71,-0.38,-3.85,-13.38,1402.3,Stage 4,Stage 4,Stage 4
SULA.NS,Sula Vineyards Limited,Fast Moving Consumer Goods,Unknown,False,Cash,Stage 4,watchlist,20.64,0.71,0.56,-2.26,-30.12,150.85,Stage 4,Stage 4,Stage 4
SFL.NS,Sheela Foam Limited,Consumer Durables,Unknown,False,Cash,Stage 2,watchlist,62.75,0.69,0.87,5.88,30.2,767.2,Stage 2,Stage 2,Stage 2
APTUS.NS,Aptus Value Housing Finance India Limited,Financial Services,Unknown,False,Cash,Stage 2,watchlist,54.08,0.69,-8.64,5.26,-0.14,279.05,Stage 2,Stage 2,Stage 2
JKIL.NS,J.Kumar Infraprojects Limited,Construction,Unknown,False,Cash,Stage 4,watchlist,21.77,0.69,-1.48,-2.91,-14.95,489.0,Stage 4,Stage 4,Stage 4
SJVN.NS,SJVN Limited,Power,Unknown,False,Cash,Stage 4,watchlist,26.02,0.68,-1.53,-5.62,-7.55,68.04,Stage 4,Stage 4,Stage 4
CHOLAHLDNG.NS,Cholamandalam Financial Holdings Limited,Financial Services,Unknown,False,Cash,Stage 4,watchlist,26.38,0.65,-1.73,-7.68,-18.74,1526.5,Stage 4,Stage 4,Stage 4
OBEROIRLTY.NS,Oberoi Realty Limited,Realty,Unknown,True,F&O,Stage 2,watchlist,57.81,0.63,-2.56,4.88,8.46,1832.6,Stage 2,Stage 2,Stage 2
CONCORDBIO.NS,Concord Biotech Limited,Healthcare,Unknown,False,Cash,Stage 1,watchlist,30.13,0.63,-5.32,-1.72,-5.42,1256.4,Stage 1,Stage 1,Stage 1
IGL.NS,Indraprastha Gas Limited,"Oil, Gas & Consumable Fuels",Unknown,False,Cash,Stage 4,watchlist,26.62,0.63,-2.84,-11.8,-20.21,150.27,Stage 4,Stage 4,Stage 4
FEDERALBNK.NS,The Federal Bank Limited,Financial Services,Unknown,True,F&O,Stage 2,watchlist,67.26,0.62,1.64,10.01,33.9,356.5,Stage 2,Stage 2,Stage 2
JIOFIN.NS,Jio Financial Services Limited,Financial Services,Unknown,True,F&O,Stage 4,watchlist,25.95,0.62,-1.15,-1.36,-20.13,236.17,Stage 4,Stage 4,Stage 4
INDIANB.NS,Indian Bank,Financial Services,Unknown,True,F&O,Stage 1,watchlist,24.49,0.62,-3.17,-0.16,1.96,831.25,Stage 1,Stage 1,Stage 1
YATHARTH.NS,Yatharth Hospital & Trauma Care Services Limited,Healthcare,Unknown,False,Cash,Stage 2,watchlist,40.28,0.61,-0.59,0.82,24.99,843.9,Stage 2,Stage 2,Stage 2
SWANCORP.NS,Swan Corp Ltd.,Chemicals,Unknown,False,Cash,Stage 4,watchlist,31.99,0.61,0.24,-1.9,-33.0,312.2,Stage 4,Stage 4,Stage 4
GARFIBRES.NS,Garware Technical Fibres Limited,Textiles,Unknown,False,Cash,Stage 2,watchlist,29.54,0.61,-2.73,3.38,8.1,753.0,Stage 2,Stage 2,Stage 2
NATCOPHARM.NS,Natco Pharma Limited,Healthcare,Unknown,False,Cash,Stage 4,watchlist,11.61,0.61,-2.48,2.59,4.56,927.1,Stage 4,Stage 4,Stage 4
BIOCON.NS,Biocon Ltd.,Healthcare,Unknown,True,F&O,Stage 2,watchlist,63.9,0.6,-0.06,4.96,12.64,436.25,Stage 2,Stage 2,Stage 2
