Company Name,Industry,Symbol,Series,ISIN Code,f&o
Gensol Engineering Limited,Services,GENSOL,EQ,INE06H201014,#N/A
Genus Power Infrastructures Limited,Capital Goods,GENUSPOWER,EQ,INE955D01029,#N/A
The Great Eastern Shipping Company Limited,Services,GESHIP,EQ,INE017A01032,#N/A
GHCL Limited,Chemicals,GHCL,EQ,INE539A01019,#N/A
General Insurance Corporation of India,Financial Services,GICRE,EQ,INE481Y01014,#N/A
Gillette India Limited,Fast Moving Consumer Goods,GILLETTE,EQ,INE322A01010,#N/A
Gland Pharma Limited,Healthcare,GLAND,EQ,INE068V01023,#N/A
GlaxoSmithKline Pharmaceuticals Limited,Healthcare,GLAXO,EQ,INE159A01016,#N/A
Glenmark Pharmaceuticals Limited,Healthcare,GLENMARK,EQ,INE935A01035,F&O
Gujarat Mineral Development Corporation Limited,Metals & Mining,GMDCLTD,EQ,INE131A01031,#N/A
GMM Pfaudler Limited,Capital Goods,GMMPFAUDLR,EQ,INE541A01023,#N/A
GMR Airports Ltd.,Services,GMRAIRPORT,EQ,INE776C01039,F&O
Gujarat Narmada Valley Fertilizers and Chemicals Limited,Chemicals,GNFC,EQ,INE113A01013,#N/A
Go Fashion (India) Limited,Consumer Services,GOCOLORS,EQ,INE0BJS01011,#N/A
Godfrey Phillips India Limited,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028,F&O
Go Digit General Insurance Ltd.,Financial Services,GODIGIT,EQ,INE03JT01014,#N/A
Godrej Agrovet Limited,Fast Moving Consumer Goods,GODREJAGRO,EQ,INE850D01014,#N/A
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028,F&O
Godrej Industries Limited,Diversified,GODREJIND,EQ,INE233A01035,#N/A
Godrej Properties Limited,Realty,GODREJPROP,EQ,INE484J01027,F&O
Gokaldas Exports Limited,Textiles,GOKEX,EQ,INE887G01027,#N/A
Godawari Power And Ispat limited,Capital Goods,GPIL,EQ,INE177H01021,#N/A
