Company Name,Industry,Symbol,Series,ISIN Code,f&o
Motherson Sumi Wiring India Limited,Automobile and Auto Components,MSUMI,EQ,INE0FS801015,#N/A
Mtar Technologies Limited,Capital Goods,MTARTECH,EQ,INE864I01014,#N/A
Muthoot Finance Limited,Financial Services,MUTHOOTFIN,EQ,INE414G01012,F&O
Nippon Life India Asset Management Limited,Financial Services,NAM-INDIA,EQ,INE298J01013,F&O
Natco Pharma Limited,Healthcare,NATCOPHARM,EQ,INE987B01026,#N/A
National Aluminium Company Limited,Metals & Mining,NATIONALUM,EQ,INE139A01034,F&O
Info Edge (India) Limited,Consumer Services,NAUKRI,EQ,INE663F01024,F&O
NAVA LIMITED,Power,NAVA,EQ,INE725A01022,#N/A
Navin Fluorine International Limited,Chemicals,NAVINFLUOR,EQ,INE048G01026,#N/A
Navneet Education Limited,"Media, Entertainment & Publication",NAVNETEDUL,EQ,INE060A01024,#N/A
Nazara Technologies Limited,"Media, Entertainment & Publication",NAZARA,EQ,INE418L01021,#N/A
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031,F&O
NCC Limited,Construction,NCC,EQ,INE868B01028,#N/A
Neogen Chemicals Limited,Chemicals,NEOGEN,EQ,INE136S01016,#N/A
Nesco Limited,Services,NESCO,EQ,INE317F01035,#N/A
Nestle India Limited,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01016,F&O
Netweb Technologies India Limited,Information Technology,NETWEB,EQ,INE0NT901020,#N/A
Network18 Media & Investments Limited,"Media, Entertainment & Publication",NETWORK18,EQ,INE870H01013,#N/A
Neuland Laboratories Limited,Healthcare,NEULANDLAB,EQ,INE794A01010,#N/A
Newgen Software Technologies Limited,Information Technology,NEWGEN,EQ,INE619B01017,#N/A
National Fertilizers Limited,Chemicals,NFL,EQ,INE870D01012,#N/A
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011,#N/A
NHPC Limited,Power,NHPC,EQ,INE848E01016,F&O
The New India Assurance Company Limited,Financial Services,NIACL,EQ,INE470Y01017,#N/A
NIIT Learning Systems Limited,Consumer Services,NIITMTS,EQ,INE342G01023,#N/A
Niva Bupa Health Insurance Company Ltd.,Financial Services,NIVABUPA,EQ,INE995S01015,#N/A
NLC India Ltd.,Power,NLCINDIA,EQ,INE589A01014,#N/A
NMDC Limited,Metals & Mining,NMDC,EQ,INE584A01023,F&O
NOCIL Limited,Chemicals,NOCIL,EQ,INE163A01018,#N/A
NMDC Steel Limited,Metals & Mining,NSLNISP,EQ,INE0NNS01018,#N/A
NTPC Limited,Power,NTPC,EQ,INE733E01010,F&O
NTPC Green Energy Ltd.,Power,NTPCGREEN,EQ,INE0ONG01011,#N/A
Nucleus Software Exports Limited,Information Technology,NUCLEUS,EQ,INE096B01018,#N/A
Nuvama Wealth Management Ltd.,Financial Services,NUVAMA,EQ,INE531F01023,F&O
Nuvoco Vistas Corporation Limited,Construction Materials,NUVOCO,EQ,INE118D01016,#N/A
FSN E-Commerce Ventures Limited,Consumer Services,NYKAA,EQ,INE388Y01029,F&O
Oberoi Realty Limited,Realty,OBEROIRLTY,EQ,INE093I01010,F&O
Oracle Financial Services Software Limited,Information Technology,OFSS,EQ,INE881D01027,F&O
Oil India Limited,"Oil, Gas & Consumable Fuels",OIL,EQ,INE274J01014,F&O
Ola Electric Mobility Ltd.,Automobile and Auto Components,OLAELEC,EQ,INE0LXG01040,#N/A
Olectra Greentech Limited,Automobile and Auto Components,OLECTRA,EQ,INE260D01016,#N/A
Onesource Specialty Pharma Ltd.,Healthcare,ONESOURCE,EQ,INE013P01021,#N/A
Oil & Natural Gas Corporation Limited,"Oil, Gas & Consumable Fuels",ONGC,EQ,INE213A01029,F&O
Orient Electric Limited,Consumer Durables,ORIENTELEC,EQ,INE142Z01019,#N/A
The Orissa Minerals Development Company Limited,Metals & Mining,ORISSAMINE,EQ,INE725E01024,#N/A
Page Industries Limited,Textiles,PAGEIND,EQ,INE761H01022,F&O
Paisalo Digital Limited,Financial Services,PAISALO,EQ,INE420C01059,#N/A
Paradeep Phosphates Limited,Chemicals,PARADEEP,EQ,INE088F01024,#N/A
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI,EQ,INE619A01035,F&O
Patel Engineering Limited,Construction,PATELENG,EQ,INE244B01030,#N/A
One 97 Communications Limited,Financial Services,PAYTM,EQ,INE982J01020,F&O
PCBL LIMITED,Chemicals,PCBL,EQ,INE602A01031,#N/A
PDS Limited,Textiles,PDSL,EQ,INE111Q01021,#N/A
Persistent Systems Limited,Information Technology,PERSISTENT,EQ,INE262H01013,F&O
Petronet LNG Limited,"Oil, Gas & Consumable Fuels",PETRONET,EQ,INE347G01014,F&O
Power Finance Corporation Limited,Financial Services,PFC,EQ,INE134E01011,F&O
Pfizer Limited,Healthcare,PFIZER,EQ,INE182A01018,#N/A
PG Electroplast Limited,Consumer Durables,PGEL,EQ,INE457L01011,F&O
Procter & Gamble Hygiene and Health Care Limited,Fast Moving Consumer Goods,PGHH,EQ,INE179A01014,#N/A
The Phoenix Mills Limited,Realty,PHOENIXLTD,EQ,INE211B01039,F&O
Pidilite Industries Limited,Chemicals,PIDILITIND,EQ,INE318A01026,F&O
PI Industries Limited,Chemicals,PIIND,EQ,INE603J01030,F&O
Pilani Investment and Industries Corporation Limited,Financial Services,PILANIINVS,EQ,INE417C01014,#N/A
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022,F&O
PNB Housing Finance Limited,Financial Services,PNBHOUSING,EQ,INE572E01012,F&O
Pritish Nandy Communications Limited,"Media, Entertainment & Publication",PNC,EQ,INE392B01011,#N/A
PNC Infratech Limited,Construction,PNCINFRA,EQ,INE195J01029,#N/A
PB Fintech Limited,Financial Services,POLICYBZR,EQ,INE417T01026,F&O
Polycab India Limited,Capital Goods,POLYCAB,EQ,INE455K01017,F&O
Poly Medicure Limited,Healthcare,POLYMED,EQ,INE205C01021,#N/A
Poonawalla Fincorp Limited,Financial Services,POONAWALLA,EQ,INE511C01022,#N/A
Power Grid Corporation of India Limited,Power,POWERGRID,EQ,INE752E01010,F&O
Hitachi Energy India Limited,Capital Goods,POWERINDIA,EQ,INE07Y701011,F&O
Power Mech Projects Limited,Construction,POWERMECH,EQ,INE211R01019,#N/A
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011,#N/A
Praj Industries Limited,Capital Goods,PRAJIND,EQ,INE074A01025,#N/A
Premier Energies Ltd.,Capital Goods,PREMIERENE,EQ,INE0BS701011,F&O
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011,F&O
Pricol Limited,Automobile and Auto Components,PRICOLLTD,EQ,INE726V01018,#N/A
Prince Pipes And Fittings Limited,Capital Goods,PRINCEPIPE,EQ,INE689W01016,#N/A
Privi Speciality Chemicals Limited,Chemicals,PRIVISCL,EQ,INE959A01019,#N/A
Prism Johnson Limited,Construction Materials,PRSMJOHNSN,EQ,INE010A01011,#N/A
Prudent Corporate Advisory Services Limited,Financial Services,PRUDENT,EQ,INE00F201020,#N/A
Punjab & Sind Bank,Financial Services,PSB,EQ,INE608A01012,#N/A
PTC Industries Limited,Capital Goods,PTCIL,EQ,INE596F01018,#N/A
Puravankara Limited,Realty,PURVA,EQ,INE323I01011,#N/A
PVR INOX Limited,"Media, Entertainment & Publication",PVRINOX,EQ,INE191H01014,#N/A
Quess Corp Limited,Services,QUESS,EQ,INE615P01015,#N/A
Race Eco Chain Limited,Utilities,RACE,EQ,INE084Q01012,#N/A
Radico Khaitan Limited,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028,#N/A
Railtel Corporation Of India Limited,Telecommunication,RAILTEL,EQ,INE0DD101019,#N/A
Rain Industries Limited,Chemicals,RAIN,EQ,INE855B01025,#N/A
Rainbow Childrens Medicare Limited,Healthcare,RAINBOW,EQ,INE961O01016,#N/A
Rajesh Exports Limited,Consumer Durables,RAJESHEXPO,EQ,INE343B01030,#N/A
Rajratan Global Wire Limited,Automobile and Auto Components,RAJRATAN,EQ,INE451D01029,#N/A
Rallis India Limited,Chemicals,RALLIS,EQ,INE613A01020,#N/A
The Ramco Cements Limited,Construction Materials,RAMCOCEM,EQ,INE331A01037,#N/A
Ramky Infrastructure Limited,Construction,RAMKY,EQ,INE874I01013,#N/A
Rategain Travel Technologies Limited,Information Technology,RATEGAIN,EQ,INE0CLI01024,#N/A
Ratnamani Metals & Tubes Limited,Capital Goods,RATNAMANI,EQ,INE703B01027,#N/A
Raymond Limited,Textiles,RAYMOND,EQ,INE301A01014,#N/A
Restaurant Brands Asia Limited,Consumer Services,RBA,EQ,INE07T201019,#N/A
RBL Bank Limited,Financial Services,RBLBANK,EQ,INE976G01028,F&O
Rashtriya Chemicals and Fertilizers Limited,Chemicals,RCF,EQ,INE027A01015,#N/A
REC Limited,Financial Services,RECLTD,EQ,INE020B01018,F&O
Redington Limited,Services,REDINGTON,EQ,INE891D01026,#N/A
Redtape Limited,Consumer Durables,REDTAPE,EQ,INE0LXT01019,#N/A
Relaxo Footwears Limited,Consumer Durables,RELAXO,EQ,INE131B01039,#N/A
Reliance Industries Limited,"Oil, Gas & Consumable Fuels",RELIANCE,EQ,INE002A01018,F&O
Religare Enterprises Limited,Financial Services,RELIGARE,EQ,INE621H01010,#N/A
Reliance Infrastructure Ltd.,Power,RELINFRA,BE,INE036A01016,#N/A
Shree Renuka Sugars Limited,Fast Moving Consumer Goods,RENUKA,EQ,INE087H01022,#N/A
Responsive Industries Limited,Consumer Durables,RESPONIND,EQ,INE688D01026,#N/A
RHI MAGNESITA INDIA LIMITED,Capital Goods,RHIM,EQ,INE743M01012,#N/A
RITES Limited,Construction,RITES,EQ,INE320J01015,#N/A
Ramkrishna Forgings Limited,Capital Goods,RKFORGE,EQ,INE399G01023,#N/A
Rolex Rings Limited,Automobile and Auto Components,ROLEXRINGS,EQ,INE645S01016,#N/A
Rossari Biotech Limited,Chemicals,ROSSARI,EQ,INE02A801020,#N/A
ROUTE MOBILE LIMITED,Telecommunication,ROUTE,EQ,INE450U01017,#N/A
Reliance Power Limited,Power,RPOWER,EQ,INE614G01033,#N/A
R R Kabel Limited,Capital Goods,RRKABEL,EQ,INE777K01022,#N/A
R Systems International Limited,Information Technology,RSYSTEMS,EQ,INE411H01032,#N/A
RattanIndia Enterprises Limited,Services,RTNINDIA,EQ,INE834M01019,#N/A
RattanIndia Power Limited,Power,RTNPOWER,EQ,INE399K01017,#N/A
Keystone Realtors Limited,Realty,RUSTOMJEE,EQ,INE263M01029,#N/A
Rail Vikas Nigam Limited,Construction,RVNL,EQ,INE415G01027,F&O
Safari Industries (India) Limited,Consumer Durables,SAFARI,EQ,INE429E01023,#N/A
Sagility Ltd.,Information Technology,SAGILITY,EQ,INE0W2G01015,#N/A
Steel Authority of India Limited,Metals & Mining,SAIL,EQ,INE114A01011,F&O
Sai Life Sciences Ltd.,Healthcare,SAILIFE,EQ,INE570L01029,#N/A
Saksoft Limited,Information Technology,SAKSOFT,EQ,INE667G01023,#N/A
Salasar Techno Engineering Limited,Capital Goods,SALASAR,EQ,INE170V01027,#N/A
Samhi Hotels Limited,Consumer Services,SAMHI,EQ,INE08U801020,#N/A
Sammaan Capital Ltd.,Financial Services,SAMMAANCAP,EQ,INE148I01020,F&O
Sandur Manganese & Iron Ores Limited,"Oil, Gas & Consumable Fuels",SANDUMA,EQ,INE149K01016,#N/A
Sanghvi Movers Limited,Capital Goods,SANGHVIMOV,EQ,INE989A01024,#N/A
Sanofi India Limited,Healthcare,SANOFI,EQ,INE058A01010,#N/A
Sansera Engineering Limited,Automobile and Auto Components,SANSERA,EQ,INE953O01021,#N/A
Sapphire Foods India Limited,Consumer Services,SAPPHIRE,EQ,INE806T01012,#N/A
Sarda Energy & Minerals Limited,Metals & Mining,SARDAEN,EQ,INE385C01021,#N/A
Saregama India Limited,"Media, Entertainment & Publication",SAREGAMA,EQ,INE979A01025,#N/A
SBFC Finance Limited,Financial Services,SBFC,EQ,INE423Y01016,#N/A
SBI Cards and Payment Services Limited,Financial Services,SBICARD,EQ,INE018E01016,F&O
SBI Life Insurance Company Limited,Financial Services,SBILIFE,EQ,INE123W01016,F&O
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,F&O
Schaeffler India Limited,Automobile and Auto Components,SCHAEFFLER,EQ,INE513A01022,#N/A
Schneider Electric Infrastructure Limited,Capital Goods,SCHNEIDER,EQ,INE839M01018,#N/A
Shipping Corporation Of India Limited,Services,SCI,EQ,INE109A01011,#N/A
Senco Gold Limited,Consumer Durables,SENCO,EQ,INE602W01019,#N/A
Sheela Foam Limited,Consumer Durables,SFL,EQ,INE916U01025,#N/A
Shanthi Gears Limited,Capital Goods,SHANTIGEAR,EQ,INE631A01022,#N/A
Sharda Cropchem Limited,Chemicals,SHARDACROP,EQ,INE221J01015,#N/A
Sharda Motor Industries Limited,Automobile and Auto Components,SHARDAMOTR,EQ,INE597I01028,#N/A
Share India Securities Limited,Financial Services,SHAREINDIA,EQ,INE932X01018,#N/A
Shilpa Medicare Limited,Healthcare,SHILPAMED,EQ,INE790G01031,#N/A
Shoppers Stop Limited,Consumer Services,SHOPERSTOP,EQ,INE498B01024,#N/A
SHREE CEMENT LIMITED,Construction Materials,SHREECEM,EQ,INE070A01015,F&O
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047,F&O
Shyam Metalics and Energy Limited,Metals & Mining,SHYAMMETL,EQ,INE810G01011,#N/A
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024,F&O
Signatureglobal (India) Ltd.,Realty,SIGNATURE,EQ,INE903U01023,#N/A
SIS LIMITED,Services,SIS,EQ,INE285J01028,#N/A
SJVN Limited,Power,SJVN,EQ,INE002L01015,#N/A
SKF India Limited,Capital Goods,SKFINDIA,EQ,INE640A01023,#N/A
Skipper Limited,Capital Goods,SKIPPER,EQ,INE439E01022,#N/A
Sobha Limited,Realty,SOBHA,EQ,INE671H01015,#N/A
Solar Industries India Limited,Chemicals,SOLARINDS,EQ,INE343H01029,F&O
Sona BLW Precision Forgings Limited,Automobile and Auto Components,SONACOMS,EQ,INE073K01018,F&O
Sonata Software Limited,Information Technology,SONATSOFTW,EQ,INE269A01021,#N/A
The South Indian Bank Limited,Financial Services,SOUTHBANK,EQ,INE683A01023,#N/A
Spandana Sphoorty Financial Limited,Financial Services,SPANDANA,EQ,INE572J01011,#N/A
Sun Pharma Advanced Research Company Limited,Healthcare,SPARC,EQ,INE232I01014,#N/A
Supreme Petrochem Limited,Chemicals,SPLPETRO,EQ,INE663A01033,#N/A
SRF Limited,Chemicals,SRF,EQ,INE647A01010,F&O
Steel Strips Wheels Limited,Automobile and Auto Components,SSWL,EQ,INE802C01033,#N/A
Strides Pharma Science Limited,Healthcare,STAR,EQ,INE939A01011,#N/A
Star Cement Limited,Construction Materials,STARCEMENT,EQ,INE460H01021,#N/A
Star Health and Allied Insurance Company Limited,Financial Services,STARHEALTH,EQ,INE575P01011,#N/A
Sterlite Technologies Limited,Telecommunication,STLTECH,EQ,INE089C01029,#N/A
Subros Limited,Automobile and Auto Components,SUBROS,EQ,INE287B01021,#N/A
Sudarshan Chemical Industries Limited,Chemicals,SUDARSCHEM,EQ,INE659A01023,#N/A
Sula Vineyards Limited,Fast Moving Consumer Goods,SULA,EQ,INE142Q01026,#N/A
Sumitomo Chemical India Limited,Chemicals,SUMICHEM,EQ,INE258G01013,#N/A
Sundaram Finance Limited,Financial Services,SUNDARMFIN,EQ,INE660A01013,#N/A
Sundram Fasteners Limited,Automobile and Auto Components,SUNDRMFAST,EQ,INE387A01021,#N/A
Sunflag Iron And Steel Company Limited,Metals & Mining,SUNFLAG,EQ,INE947A01014,#N/A
Sun Pharmaceutical Industries Limited,Healthcare,SUNPHARMA,EQ,INE044A01036,F&O
Sunteck Realty Limited,Realty,SUNTECK,EQ,INE805D01034,#N/A
Sun TV Network Limited,"Media, Entertainment & Publication",SUNTV,EQ,INE424H01027,#N/A
Suprajit Engineering Limited,Automobile and Auto Components,SUPRAJIT,EQ,INE399C01030,#N/A
Supreme Industries Limited,Capital Goods,SUPREMEIND,EQ,INE195A01028,F&O
Surya Roshni Limited,Capital Goods,SURYAROSNI,EQ,INE335A01012,#N/A
Suzlon Energy Limited,Capital Goods,SUZLON,EQ,INE040H01021,F&O
Swan Corp Ltd.,Chemicals,SWANCORP,EQ,INE665A01038,#N/A
Swiggy Ltd.,Consumer Services,SWIGGY,EQ,INE00H001014,F&O
Symphony Limited,Consumer Durables,SYMPHONY,EQ,INE225D01027,#N/A
Syngene International Limited,Healthcare,SYNGENE,EQ,INE398R01022,#N/A
Syrma SGS Technology Limited,Capital Goods,SYRMA,EQ,INE0DYJ01015,#N/A
Tanla Platforms Limited,Information Technology,TANLA,EQ,INE483C01032,#N/A
TARC Limited,Realty,TARC,EQ,INE0EK901012,#N/A
Transformers And Rectifiers (India) Ltd.,Capital Goods,TARIL,EQ,INE763I01026,#N/A
Tasty Bite Eatables Limited,Fast Moving Consumer Goods,TASTYBITE,EQ,INE488B01017,#N/A
Tata Chemicals Limited,Chemicals,TATACHEM,EQ,INE092A01019,#N/A
Tata Communications Limited,Telecommunication,TATACOMM,EQ,INE151A01013,#N/A
TATA CONSUMER PRODUCTS LIMITED,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,F&O
Tata Elxsi Limited,Information Technology,TATAELXSI,EQ,INE670A01012,F&O
Tata Investment Corporation Ltd.,Financial Services,TATAINVEST,EQ,INE672A01026,#N/A
Tata Power Company Limited,Power,TATAPOWER,EQ,INE245A01021,F&O
Tata Steel Limited,Metals & Mining,TATASTEEL,EQ,INE081A01020,F&O
Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025,#N/A
Tatva Chintan Pharma Chem Limited,Chemicals,TATVA,EQ,INE0GK401011,#N/A
TBO Tek Ltd.,Consumer Services,TBOTEK,EQ,INE673O01025,#N/A
Transport Corporation of India Limited,Services,TCI,EQ,INE688A01022,#N/A
TCI Express Limited,Services,TCIEXP,EQ,INE586V01016,#N/A
Tata Consultancy Services Limited,Information Technology,TCS,EQ,INE467B01029,F&O
TD Power Systems Limited,Capital Goods,TDPOWERSYS,EQ,INE419M01027,#N/A
Teamlease Services Limited,Services,TEAMLEASE,EQ,INE985S01024,#N/A
Tech Mahindra Limited,Information Technology,TECHM,EQ,INE669C01036,F&O
Techno Electric & Engineering Company Limited,Construction,TECHNOE,EQ,INE285K01026,#N/A
Tega Industries Limited,Capital Goods,TEGA,EQ,INE011K01018,#N/A
Tejas Networks Limited,Telecommunication,TEJASNET,EQ,INE010J01012,#N/A
Texmaco Rail & Engineering Limited,Capital Goods,TEXRAIL,EQ,INE621L01012,#N/A
Thangamayil Jewellery Limited,Consumer Durables,THANGAMAYL,EQ,INE085J01014,#N/A
Leela Palaces Hotels & Resorts Ltd.,Consumer Services,THELEELA,EQ,INE0AQ201015,#N/A
Thermax Limited,Capital Goods,THERMAX,EQ,INE152A01029,#N/A
Tilaknagar Industries Limited,Fast Moving Consumer Goods,TI,EQ,INE133E01013,#N/A
Technocraft Industries (India) Limited,Capital Goods,TIIL,EQ,INE545H01011,#N/A
Tube Investments of India Limited,Automobile and Auto Components,TIINDIA,EQ,INE974X01010,F&O
Time Technoplast Limited,Capital Goods,TIMETECHNO,EQ,INE508G01029,#N/A
Timken India Limited,Capital Goods,TIMKEN,EQ,INE325A01013,#N/A
TITAGARH RAIL SYSTEMS LIMITED,Capital Goods,TITAGARH,EQ,INE615H01020,#N/A
Titan Company Limited,Consumer Durables,TITAN,EQ,INE280A01028,F&O
Tamilnad Mercantile Bank Limited,Financial Services,TMB,EQ,INE668A01016,#N/A
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV,EQ,INE155A01022,F&O
Torrent Pharmaceuticals Limited,Healthcare,TORNTPHARM,EQ,INE685A01028,F&O
Torrent Power Limited,Power,TORNTPOWER,EQ,INE813H01021,#N/A
Trent Limited,Consumer Services,TRENT,EQ,INE849A01020,F&O
Trident Limited,Textiles,TRIDENT,EQ,INE064C01022,#N/A
Triveni Turbine Limited,Capital Goods,TRITURBINE,EQ,INE152M01016,#N/A
Triveni Engineering & Industries Limited,Fast Moving Consumer Goods,TRIVENI,EQ,INE256C01024,#N/A
TTK Prestige Limited,Consumer Durables,TTKPRESTIG,EQ,INE690A01028,#N/A
Tata Teleservices (Maharashtra) Limited,Telecommunication,TTML,EQ,INE517B01013,#N/A
TVS Holdings Limited,Automobile and Auto Components,TVSHLTD,EQ,INE105A01035,#N/A
TVS Motor Company Limited,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023,F&O
TVS Supply Chain Solutions Limited,Services,TVSSCS,EQ,INE395N01027,#N/A
TVS Srichakra Limited,Automobile and Auto Components,TVSSRICHAK,EQ,INE421C01016,#N/A
United Breweries Limited,Fast Moving Consumer Goods,UBL,EQ,INE686F01025,#N/A
UCO Bank,Financial Services,UCOBANK,EQ,INE691A01018,#N/A
Ujjivan Small Finance Bank Limited,Financial Services,UJJIVANSFB,EQ,INE551W01018,#N/A
UltraTech Cement Limited,Construction Materials,ULTRACEMCO,EQ,INE481G01011,F&O
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016,F&O
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024,F&O
UNO Minda Limited,Automobile and Auto Components,UNOMINDA,EQ,INE405E01023,F&O
UPL Limited,Chemicals,UPL,EQ,INE628A01036,F&O
Usha Martin Limited,Capital Goods,USHAMART,EQ,INE228A01035,#N/A
UTI Asset Management Company Limited,Financial Services,UTIAMC,EQ,INE094J01016,#N/A
Utkarsh Small Finance Bank Limited,Financial Services,UTKARSHBNK,EQ,INE735W01017,#N/A
Vaibhav Global Limited,Consumer Durables,VAIBHAVGBL,EQ,INE884A01027,#N/A
Varroc Engineering Limited,Automobile and Auto Components,VARROC,EQ,INE665L01035,#N/A
Varun Beverages Limited,Fast Moving Consumer Goods,VBL,EQ,INE200M01021,F&O
Vedanta Limited,Metals & Mining,VEDL,EQ,INE205A01025,F&O
Ventive Hospitality Ltd.,Consumer Services,VENTIVE,EQ,INE781S01027,#N/A
Venus Pipes & Tubes Limited,Capital Goods,VENUSPIPES,EQ,INE0JA001018,#N/A
Vesuvius India Limited,Capital Goods,VESUVIUS,EQ,INE386A01015,#N/A
V-Guard Industries Limited,Consumer Durables,VGUARD,EQ,INE951I01027,#N/A
Vijaya Diagnostic Centre Limited,Healthcare,VIJAYA,EQ,INE043W01024,#N/A
Vinati Organics Limited,Chemicals,VINATIORGA,EQ,INE410B01037,#N/A
VIP Industries Limited,Consumer Durables,VIPIND,EQ,INE054A01027,#N/A
V-Mart Retail Limited,Consumer Services,VMART,EQ,INE665J01013,#N/A
Vishal Mega Mart Ltd.,Consumer Services,VMM,EQ,INE01EA01019,F&O
Voltamp Transformers Limited,Capital Goods,VOLTAMP,EQ,INE540H01012,#N/A
Voltas Limited,Consumer Durables,VOLTAS,EQ,INE226A01021,F&O
VRL Logistics Limited,Services,VRLLOG,EQ,INE366I01010,#N/A
VST Industries Limited,Fast Moving Consumer Goods,VSTIND,EQ,INE710A01016,#N/A
V.S.T Tillers Tractors Limited,Capital Goods,VSTTILLERS,EQ,INE764D01017,#N/A
Vardhman Textiles Limited,Textiles,VTL,EQ,INE825A01020,#N/A
Waaree Energies Ltd.,Capital Goods,WAAREEENER,EQ,INE377N01017,F&O
VA Tech Wabag Limited,Utilities,WABAG,EQ,INE956G01038,#N/A
Welspun Corp Limited,Capital Goods,WELCORP,EQ,INE191B01025,#N/A
Welspun Enterprises Limited,Construction,WELENT,EQ,INE625G01013,#N/A
Welspun Living Ltd.,Textiles,WELSPUNLIV,EQ,INE192B01031,#N/A
WESTLIFE FOODWORLD LIMITED,Consumer Services,WESTLIFE,EQ,INE274F01020,#N/A
Whirlpool of India Limited,Consumer Durables,WHIRLPOOL,EQ,INE716A01013,#N/A
Wipro Limited,Information Technology,WIPRO,EQ,INE075A01022,F&O
Wockhardt Limited,Healthcare,WOCKPHARMA,EQ,INE049B01025,#N/A
Wonderla Holidays Limited,Consumer Services,WONDERLA,EQ,INE066O01014,#N/A
West Coast Paper Mills Limited,Forest Materials,WSTCSTPAPR,EQ,INE976A01021,#N/A
Yatharth Hospital & Trauma Care Services Limited,Healthcare,YATHARTH,EQ,INE0JO301016,#N/A
Yes Bank Limited,Financial Services,YESBANK,EQ,INE528G01035,F&O
Zaggle Prepaid Ocean Services Limited,Information Technology,ZAGGLE,EQ,INE07K301024,#N/A
Zee Entertainment Enterprises Limited,"Media, Entertainment & Publication",ZEEL,EQ,INE256A01028,#N/A
Zensar Technologies Limited,Information Technology,ZENSARTECH,EQ,INE520A01027,#N/A
Zen Technologies Ltd.,Capital Goods,ZENTEC,EQ,INE251B01027,#N/A
ZF Commercial Vehicle Control Systems India Limited,Automobile and Auto Components,ZFCVINDIA,EQ,INE342J01019,#N/A
Zydus Lifesciences Limited,Healthcare,ZYDUSLIFE,EQ,INE010B01027,F&O
Zydus Wellness Limited,Fast Moving Consumer Goods,ZYDUSWELL,EQ,INE768C01010,#N/A
